carname,officialprice,carfuelc,brand,MIITfuelc,displacement,rank,gearbox,cartype,ranking,carstrength,configuration,major,ownerevaluate,price,versions1,versionsp1,versions2,versionsp2
林肯MKC,27.58-38.88万,8.10-11.00L/100km,林肯,暂无信息,"['2.0T', '2.3T']",中型SUV,['手自一体'],[],该车车实力评分高于79%同级别车系查看详情,78.3,良好,良好,优秀,一般, 2019款 2.0T 四驱尊耀版 国V,38.88万, 2018款 2.0T 四驱尊雅版,34.68万
昂科威,21.99-31.99万,8.10-11.40L/100km,别克,暂无信息,"['1.5T', '2.0T']",中型SUV,"['手自一体', '双离合']",[],该车车实力评分高于60%同级别车系查看详情,76.9,良好,良好,良好,良好, 2018款 28T 四驱豪华型,28.99万, 2018款 28T 四驱精英型,26.99万
捷豹E-PACE,28.88-39.58万,8.10-11.50L/100km,捷豹,暂无信息,['2.0T'],紧凑型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.8,良好,测试中,优秀,较弱, 2018款 P250 SE,37.68万, 2018款 P250 HSE,39.58万
海马S7,8.98-14.48万,8.10-13.00L/100km,海马,暂无信息,"['1.8T', '2.0L']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.7,较弱,测试中,良好,良好, 2017款 1.8T 自动领先版,11.38万, 2017款 1.8T 自动豪华版,12.68万
讴歌CDX,22.98-32.78万,8.20-9.60L/100km,讴歌,暂无信息,['1.5T'],紧凑型SUV,['双离合'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.2,良好,测试中,优秀,较弱, 2018款 1.5T 四驱MATTE GRAY特别版智享・魅版,32.78万, 2017款 1.5T MATTE磨砂灰特别版,未上市
名爵HS,11.98-18.98万,8.20-9.60L/100km,MG名爵,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,"['手动', '双离合']",[],该车车实力评分高于52%同级别车系查看详情,71.5,一般,一般,优秀,一般, 2018款 30T 自动四驱Trophy荷尔蒙超燃版,18.98万, 2018款 30T 自动四驱Trophy荷尔蒙燃情版,17.98万
中华V6,8.79-14.19万,8.20-9.80L/100km,中华,暂无信息,['1.5T'],紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.0,一般,测试中,良好,一般, 2018款 1.5T 自动豪华型,10.99万, 2018款 1.5T 自动纪念型,14.19万
WEY VV5,12.98-17.30万,8.20-10.00L/100km,WEY,暂无信息,['2.0T'],紧凑型SUV,['双离合'],[],该车车实力评分高于67%同级别车系查看详情,74.6,良好,良好,良好,一般, 2019款 2.0T 两驱终结版,12.98万, 2017款 VV5s hi4,未上市
领克01,15.88-22.08万,8.20-10.50L/100km,领克,暂无信息,['2.0T'],紧凑型SUV,"['手自一体', '双离合']",[],该车车实力评分高于54%同级别车系查看详情,71.7,良好,一般,优秀,一般, 2018款 2.0T 耀Pro,18.28万, 2018款 2.0T 时间限量版,22.08万
标致4008,16.97-27.37万,8.20-10.50L/100km,标致,暂无信息,"['1.6T', '1.8T']",紧凑型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.6,一般,测试中,良好,一般, 2019款 380THP 卓越版,21.97万, 2018款 380THP 精英版,22.37万
柯珞克,13.99-18.59万,8.20-10.90L/100km,斯柯达,暂无信息,"['1.2T', '1.4T']",紧凑型SUV,['双离合'],[],该车车实力评分高于37%同级别车系查看详情,70.8,一般,良好,优秀,一般, 2018款 TSI280 豪华版,16.99万, 2018款 TSI280 舒适版,15.69万
中华V7,10.87-19.47万,8.20-11.50L/100km,中华,暂无信息,['1.6T'],紧凑型SUV,"['手动', '双离合']",[],该车车实力评分高于60%同级别车系查看详情,72.6,良好,一般,优秀,一般, 2018款 1.6T DCT豪华型 5座,12.87万, 2018款 1.6T DCT旗舰型 7座,15.67万
哈弗H6,10.20-14.20万,8.20-11.70L/100km,哈弗,7.40-8.70L/100km,"['1.3T', '1.5T', '2.0L', '2.0T', '2.4L']",紧凑型SUV,"['手动', '双离合']",[],该车车实力评分高于85%同级别车系查看详情,76.3,一般,良好,优秀,良好, 2019款 蓝标 2.0GDIT 自动冠军版,12.7万, 2019款 红标 2.0GDIT 自动冠军版,12.7万
东南DX7,8.99-14.99万,8.20-11.80L/100km,东南,暂无信息,"['1.5T', '1.8T', '2.0T']",紧凑型SUV,"['手动', '手自一体', '双离合']",[],该车车实力评分高于25%同级别车系查看详情,69.6,一般,一般,优秀,一般, 2018款 Prime 1.8T DCT旗舰型,14.99万, 2018款 Prime 1.8T DCT尊贵型,14.29万
奥迪Q5,39.64-51.92万,8.20-12.00L/100km,奥迪,9.60-9.90L/100km,['2.0T'],中型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.6,良好,测试中,优秀,一般, 2017款 Plus 40 TFSI quattro 舒适型,47.09万, 2017款 Plus 40 TFSI quattro 技术型,42.76万
汉兰达,23.98-33.08万,8.20-12.00L/100km,丰田,暂无信息,"['2.0T', '2.7L', '3.5L']",中型SUV,['手自一体'],[],该车车实力评分高于62%同级别车系查看详情,77.1,一般,良好,良好,良好, 2018款 2.0T 四驱豪华版 7座,29.98万, 2018款 2.0T 四驱至尊版 7座,33.08万
GLC级AMG,65.18-131.80万,8.20-14.00L/100km,奔驰,暂无信息,"['3.0T', '4.0T']",中型SUV,['手自一体'],[],该车车实力评分高于69%同级别车系查看详情,77.9,良好,优秀,优秀,较弱, 2018款 AMG GLC 63 S Coupe 4MATIC,未上市, 2018款 AMG GLC 63 S 4MATIC+ 轿跑SUV 先行特别版,131.8万
北京(BJ)80,28.30-39.80万,8.20-15.20L/100km,北京,暂无信息,"['2.3T', '2.8T']",中大型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.1,一般,测试中,良好,良好, 2018款 2.3T 自动四驱珠峰版,39.8万, 2017款 2.3T 自动建军90周年纪念版,31.8万
北京现代ix25,10.98-15.28万,8.30-8.60L/100km,现代,暂无信息,"['1.4T', '1.6L', '1.6T', '2.0L']",小型SUV,"['手动', '手自一体', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.4,较弱,测试中,优秀,优秀, 2017款 1.6L GLS 自动智能型,13.28万, 2017款 1.4T GLS 双离合智能型,14.28万
科雷嘉,13.98-20.88万,8.30-9.50L/100km,雷诺,暂无信息,"['1.2T', '2.0L']",紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.9,一般,测试中,良好,一般, 2019款 SCe200 自动两驱智尊型 国V,19.48万, 2018款 2.0L 两驱120周年限量版,17.88万
风光S560,6.39-9.69万,8.30-9.70L/100km,东风风光,暂无信息,['1.8L'],紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.9,一般,测试中,优秀,一般, 2018款 1.8L 手动豪华型,7.89万, 2018款 1.8L 手动舒适型,7.39万
北汽幻速S6,8.88-11.68万,8.30-9.90L/100km,北汽幻速,暂无信息,['1.5T'],紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.4,一般,测试中,优秀,一般, 2017款 1.5T 手动领先型,9.68万, 2017款 1.5T 手动幻悦型,9.38万
领克02,12.28-19.28万,8.30-9.90L/100km,领克,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,"['手动', '手自一体', '双离合']",[],该车车实力评分高于92%同级别车系查看详情,77.3,良好,良好,优秀,一般, 2018款 2.0T 7DCT 四驱劲Pro版,19.28万, 2018款 1.5T 7DCT 两驱耀版,14.28万
海马S5,6.98-10.98万,8.30-10.60L/100km,海马郑州,暂无信息,"['1.5T', '1.6L']",紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.1,较弱,测试中,优秀,良好, 2019款 230T 自动豪华型,9.68万, 2019款 230T 自动智联旗舰型,10.98万
野马T80,8.98-13.98万,8.30-10.80L/100km,野马汽车,暂无信息,"['1.5T', '2.0T']",中型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.1,一般,测试中,一般,一般, 2019款 1.8T 基本型,即将上市, 2018款 2.0T DCT豪华型,12.98万
绅宝智行,7.99-11.99万,8.30-10.90L/100km,北汽绅宝,暂无信息,['1.5T'],小型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.9,一般,测试中,优秀,一般, 2018款 1.5T CVT智领版,11.99万, 2018款 1.5T CVT新智版,10.99万
北京现代ix35,11.99-16.19万,8.30-11.00L/100km,现代,6.80-7.10L/100km,"['1.4T', '2.0L', '2.4L']",紧凑型SUV,"['手动', '手自一体', '双离合']",[],该车车实力评分高于42%同级别车系查看详情,70.9,一般,良好,良好,良好, 2018款 2.0L 自动四驱智勇・旗舰版,16.19万, 2018款 2.0L 自动两驱智勇・畅质版 ,12.99万
柯迪亚克,18.98-26.99万,8.30-11.20L/100km,斯柯达,暂无信息,"['1.8T', '2.0T']",中型SUV,['双离合'],[],该车车实力评分高于45%同级别车系查看详情,74.7,良好,良好,良好,一般, 2018款 改款 TSI330 5座两驱豪华优享版,22.53万, 2018款 改款 TSI330 5座两驱舒适版,20.98万
瑞风S5,8.95-13.95万,8.30-11.70L/100km,江淮,暂无信息,"['1.5T', '1.8T', '2.0L', '2.0T']",紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.8,一般,测试中,优秀,一般, 2017款 1.5TGDI 自动电商版,9.95万, 2015款 2.0L 手动豪华型 ,9.95万
宋,7.98-12.99万,8.30-12.30L/100km,比亚迪,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,"['手动', '双离合']",[],该车车实力评分高于17%同级别车系查看详情,67.4,一般,一般,良好,良好, 2019款 1.5TI 自动智联越耀型,11.98万, 2019款 1.5TI 手动智联越动型,9.38万
猎豹CS10,8.98-14.68万,8.30-12.30L/100km,猎豹汽车,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,"['手动', '无级变速', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.1,一般,测试中,一般,良好, 2018款 基本型,未上市, 2017款 2.0T 手动风尚版,10.58万
东风风度MX6,13.28-16.98万,8.40-9.20L/100km,东风风度,暂无信息,['2.0L'],紧凑型SUV,['无级变速'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.2,一般,测试中,优秀,良好, 2016款 2.0L 手动两驱领航版,停售, 2016款 2.0L CVT两驱梦想版,14.98万
马自达CX-5,16.98-24.58万,8.40-10.70L/100km,马自达,暂无信息,"['2.0L', '2.5L']",紧凑型SUV,"['手动', '手自一体']",[],该车车实力评分高于77%同级别车系查看详情,75.7,一般,良好,良好,良好, 2017款 2.5L 自动四驱智尊型,22.98万, 2017款 2.5L 自动四驱旗舰型,24.58万
途达,16.98-24.58万,8.40-11.20L/100km,日产,暂无信息,['2.5L'],中型SUV,"['手动', '手自一体']",[],该车车实力评分高于36%同级别车系查看详情,73.9,一般,优秀,优秀,一般, 2018款 2.5L XV 自动四驱旗舰版,24.58万, 2018款 2.5L XL Upper 自动四驱豪华版,22.58万
探岳,18.88-31.98万,8.40-11.30L/100km,大众,暂无信息,"['1.4T', '2.0T']",中型SUV,['双离合'],[],该车车实力评分高于48%同级别车系查看详情,75.0,良好,良好,良好,一般, 2019款 380TSI 四驱旗舰型,31.98万, 2019款 380TSI 四驱R-Line,26.48万
哈弗H6,10.20-14.20万,8.40-11.70L/100km,哈弗,7.40-8.70L/100km,"['1.3T', '1.5T', '2.0L', '2.0T', '2.4L']",紧凑型SUV,"['手动', '双离合']",[],该车车实力评分高于85%同级别车系查看详情,76.3,一般,良好,优秀,良好, 2019款 蓝标 2.0GDIT 自动冠军版,12.7万, 2019款 红标 2.0GDIT 自动冠军版,12.7万
陆风X8,11.99-15.79万,8.40-12.00L/100km,陆风,5.29-6.94L/100km,"['1.8T', '2.0L', '2.0T', '2.4L', '2.5T']",紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.4,较弱,测试中,良好,一般, 2017款 2.0T 汽油四驱超豪华型,停售, 2017款 2.0T 汽油四驱豪华型,停售
北京(BJ)40,12.98-19.98万,8.40-13.00L/100km,北京,暂无信息,"['2.0T', '2.3T', '2.4L']",紧凑型SUV,"['手动', '自动', '手自一体']",[],该车车实力评分高于19%同级别车系查看详情,67.7,较弱,良好,良好,一般, 2019款 Plus 2.0T 汽油 自动四驱城市猎人版,17.48万, 2019款 Plus 2.0T 柴油 自动四驱基本型,未上市
哈弗H6 Coupe,11.90-12.70万,8.50-9.30L/100km,哈弗,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,['双离合'],[],该车车实力评分高于63%同级别车系查看详情,73.7,一般,良好,优秀,一般, 2018款 蓝标 1.5T 自动两驱超豪型,12.5万, 2018款 蓝标 1.5T 自动两驱豪华型,11.9万
哈弗M6,6.60-8.60万,8.50-9.50L/100km,哈弗,暂无信息,['1.5T'],紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.0,一般,测试中,良好,一般, 2018款 1.5T 手动两驱精英型,7.1万, 2018款 1.5T DCT两驱精英型,停售
观致5 SUV,13.99-19.49万,8.50-9.60L/100km,观致,暂无信息,['1.6T'],紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.5,一般,测试中,优秀,一般, 2019款 智云互联版,未上市, 2018款 1.6T 自动尊贵型,17.49万
智跑,11.99-18.98万,8.50-9.70L/100km,起亚,7.80-9.50L/100km,"['2.0L', '2.4L']",紧凑型SUV,"['手动', '手自一体']",[],该车车实力评分高于38%同级别车系查看详情,70.8,较弱,良好,优秀,良好, 2018款 2.0L 自动智享豪华版,13.99万, 2016款 2.0L 自动两驱版GLS,17.28万
DS 7,20.89-30.99万,8.50-10.50L/100km,DS,暂无信息,['1.6T'],紧凑型SUV,['手自一体'],[],该车车实力评分高于98%同级别车系查看详情,79.6,良好,优秀,优秀,较弱, 2018款 45THP 里沃利先锐版,24.19万, 2018款 45THP 里沃利先锋版,26.99万
柯兰多Korando,13.98-24.98万,8.50-12.70L/100km,双龙,暂无信息,"['2.0L', '2.0T']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.5,较弱,测试中,良好,一般, 2015款 2.0L 汽油四驱自动致尊版 ,19.98万, 2015款 2.0L 汽油四驱自动致享版 ,18.28万
哈弗H8,18.38-23.18万,8.50-13.50L/100km,哈弗,暂无信息,['2.0T'],中型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.5,良好,测试中,一般,一般, 2017款 2.0T 汽油 四驱智享型,21.38万, 2017款 2.0T 汽油 四驱悦享型,19.88万
比亚迪S6,7.99-12.39万,8.50-15.80L/100km,比亚迪,暂无信息,"['1.5T', '2.0L', '2.4L']",中型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.5,较弱,测试中,优秀,良好, 2014款 2.4L 自动豪华型 ,9.99万, 2014款 2.4L 自动旗舰型 ,12.39万
奔驰GLS,102.28-158.80万,8.60-11.00L/100km,奔驰,暂无信息,"['3.0T', '4.0T']",大型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分58.7,优秀,测试中,优秀,一般, 2018款 改款 GLS 500 4MATIC,158.8万, 2016款 GLS 500 4MATIC,停售
奔腾X80,9.98-14.78万,8.60-11.00L/100km,奔腾,暂无信息,"['1.8T', '2.0L', '2.3L']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.0,一般,测试中,良好,良好, 2018款 Live版 1.8T 自动旗舰型,14.78万, 2018款 2.0L 自动20周年纪念版,13.48万
众泰大迈X7,10.69-15.99万,8.60-11.60L/100km,众泰,暂无信息,"['1.5T', '1.8T', '2.0T']",中型SUV,"['手动', '手自一体', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.9,一般,测试中,优秀,一般, 2018款 2.0T 自动豪华型,11.99万, 2017款 上进版 2.0T 自动泰山型,未上市
瑞虎8,9.88-14.28万,8.60-12.00L/100km,奇瑞,暂无信息,['1.5T'],中型SUV,"['手动', '双离合']",[],该车车实力评分高于14%同级别车系查看详情,69.8,一般,良好,优秀,一般, 2018款 1.5T 手动豪华型 7座,10.78万, 2018款 1.5T 手动尊贵型 5座,11.28万
Macan,55.00-102.80万,8.60-15.00L/100km,保时捷,暂无信息,"['2.0T', '3.0T', '3.6T']",中型SUV,['双离合'],[],该车车实力评分高于90%同级别车系查看详情,79.5,良好,优秀,优秀,较弱, 2018款 Macan 2.0T,55.8万, 2017款 TECHART Macan,未上市
全新胜达(进口),30.06-36.18万,8.60-17.00L/100km,现代,10.60-13.00L/100km,"['2.2T', '2.4L', '2.7L', '3.0L']",中型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.5,一般,测试中,优秀,较弱,新胜达(进口) 2012款 2.4L 四驱豪华版 7座,停售,新胜达(进口) 2012款 2.4L 四驱舒适版 7座,停售
DS 6,20.69-27.29万,8.70-9.30L/100km,DS,暂无信息,"['1.6T', '1.8T']",紧凑型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.5,一般,测试中,优秀,一般, 2018款 30THP 尊贵型,22.99万, 2018款 30THP 奢华型,27.29万
陆风X5,7.98-11.58万,8.70-10.50L/100km,陆风,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,"['手动', '手自一体', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.3,一般,测试中,优秀,一般, 2016款 Plus 1.5T 手动创领版,停售, 2016款 Plus 1.5T 手动创享版,停售
众泰T700,10.68-15.58万,8.70-10.70L/100km,众泰,暂无信息,"['1.8T', '2.0T']",中大型SUV,"['手动', '手自一体', '双离合']",[],该车车实力评分高于5%同级别车系查看详情,72.5,良好,一般,优秀,优秀, 2018款 2.0T 自动旗舰型,15.58万, 2018款 1.8T DCT旗舰型贺岁版,14.98万
沃尔沃XC60,36.99-47.99万,8.70-10.80L/100km,沃尔沃,暂无信息,"['2.0T', '2.5T']",中型SUV,['手自一体'],[],该车车实力评分高于74%同级别车系查看详情,78.2,良好,优秀,良好,一般, 2019款 T5 四驱智雅豪华版,47.99万, 2018款 T5 四驱智雅运动版,47.99万
众泰T800,13.18-18.58万,8.70-11.90L/100km,众泰,暂无信息,['2.0T'],中大型SUV,['双离合'],[],该车车实力评分高于16%同级别车系查看详情,75.6,一般,良好,优秀,优秀, 2018款 2.0T 旗舰智联型 7座,16.3万, 2018款 2.0T 尊贵智联型 7座,15.18万
陆风X9,14.58-16.58万,8.80-9.00L/100km,陆风,6.13-10.50L/100km,"['2.0L', '2.0T', '2.4L', '2.5T']",紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.9,较弱,测试中,优秀,一般, 2013款 2.0T 两驱柴油版,14.58万, 2009款 2.5T VM 手动四驱,停售
享御,21.98-25.98万,8.80-10.50L/100km,双龙,6.30-10.50L/100km,"['2.0T', '2.3L']",中型SUV,['自动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.3,较弱,测试中,良好,一般, 2016款 基本型,未上市, 2011款 2.0T 四驱豪华导航版,25.98万
哈弗H2,7.49-9.49万,8.80-10.70L/100km,哈弗,暂无信息,['1.5T'],小型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.9,较弱,测试中,良好,良好, 2018款 蓝标 1.5T 自动两驱豪华型,停售, 2018款 蓝标 1.5T 自动两驱精英型,停售
启辰T90,10.98-15.48万,8.80-11.00L/100km,东风启辰,暂无信息,"['1.4T', '2.0L']",中型SUV,"['手动', '无级变速']",[],该车车实力评分高于12%同级别车系查看详情,68.4,一般,一般,优秀,一般, 2017款 2.0L 手动风尚版,11.78万, 2017款 2.0L 手动智尚版,12.68万
唐,12.99-16.99万,8.80-11.10L/100km,比亚迪,暂无信息,['2.0T'],中型SUV,['手自一体'],[],该车车实力评分高于43%同级别车系查看详情,74.4,良好,良好,优秀,一般, 2018款 2.0T 智联尊贵型 7座,14.99万, 2018款 2.0T 智联尊荣型 7座,15.99万
大指挥官,27.98-40.98万,8.80-11.30L/100km,Jeep,暂无信息,['2.0T'],中型SUV,['手自一体'],[],该车车实力评分高于71%同级别车系查看详情,79.1,良好,优秀,良好,较弱, 2018款 2.0T四驱臻享版,30.98万, 2018款 2.0T四驱耀享版,35.98万
比亚迪S7,9.99-13.99万,8.80-12.10L/100km,比亚迪,暂无信息,"['1.5T', '2.0T']",中型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.5,一般,测试中,优秀,良好, 2017款 2.0T 自动豪华型,11.99万, 2017款 2.0T 自动尊贵型,12.99万
宝沃BX7,16.98-24.28万,8.80-12.30L/100km,宝沃,暂无信息,['2.0T'],中型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.6,良好,测试中,良好,一般, 2018款 28T 四驱旗舰型 5座,23.58万, 2018款 28T 两驱质享型 5座,18.98万
索兰托,22.68-31.38万,8.80-12.50L/100km,起亚,6.80-12.80L/100km,"['2.0T', '2.2T', '2.4L']",中型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.9,一般,测试中,优秀,良好, 2018款 索兰托L 2.0T 柴油4WD旗舰版7座,30.58万, 2018款 索兰托L 2.0T 柴油2WD豪华版7座,25.78万
捷豹F-PACE,48.80-80.88万,8.80-13.10L/100km,捷豹,暂无信息,"['2.0T', '3.0T']",中型SUV,['手自一体'],[],该车车实力评分高于40%同级别车系查看详情,74.4,良好,良好,优秀,较弱, 2018款 改款 2.0T R-Sport 运动版 AWD,60.8万, 2018款 SVR,未上市
WEY VV7,16.78-18.88万,8.90-10.50L/100km,WEY,暂无信息,['2.0T'],中型SUV,['双离合'],[],该车车实力评分高于38%同级别车系查看详情,74.0,良好,良好,一般,一般, 2017款 VV7s hi4,未上市, 2017款 VV7c 2.0T 超豪型,17.58万
长安CS95,15.98-22.98万,8.90-11.00L/100km,长安汽车,暂无信息,['2.0T'],中大型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.9,良好,测试中,一般,良好, 2018款 特别版,未上市, 2017款 360T 四驱智驭版 7座,19.98万
英菲尼迪QX60混动,48.88-58.28万,8.90-12.30L/100km,英菲尼迪,暂无信息,['2.5T'],中大型SUV,['无级变速'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分55.1,良好,测试中,良好,一般, 2018款 2.5T Hybrid 两驱冠军家庭版,48.88万, 2016款 2.5T Hybrid 四驱全能版,58.28万
雷斯特W,24.98-33.48万,9.00-10.70L/100km,双龙,暂无信息,"['2.0T', '2.7T']",中型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.8,一般,测试中,优秀,较弱, 2016款 2.2T 柴油版基本型,未上市, 2014款 2.7T 四驱豪华导航版,32.98万
探界者,17.49-25.09万,9.00-11.00L/100km,雪佛兰,暂无信息,"['1.5T', '2.0T']",中型SUV,['手自一体'],[],该车车实力评分高于76%同级别车系查看详情,78.2,一般,良好,优秀,一般, 2018款 Redline 550T 四驱捍界版RS,25.09万, 2018款 RS 550T 四驱捍界版,25.09万
雷克萨斯RX,39.00-81.00万,9.00-11.30L/100km,雷克萨斯,7.00-14.30L/100km,"['2.0T', '2.7L', '3.5L']",中大型SUV,['手自一体'],[],该车车实力评分高于95%同级别车系查看详情,84.5,良好,优秀,优秀,优秀, 2018款 450hL,未上市, 2018款 350L,未上市
撼路者,26.55-35.77万,9.00-11.70L/100km,福特,暂无信息,"['2.0T', '2.2T']",中型SUV,"['手动', '手自一体']",[],该车车实力评分高于31%同级别车系查看详情,73.7,一般,良好,优秀,一般, 2017款 2.0L GTDi 汽油自动四驱豪华版 7座,32.2万, 2017款 2.0L GTDi 汽油自动四驱豪华版 5座,31.61万
卡威W1,9.48-10.33万,9.00-12.00L/100km,卡威汽车,暂无信息,"['2.0L', '2.4L']",紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分38.6,较弱,测试中,优秀,一般, 2014款 2.4L 两驱至尊型,10.33万,,
昌河Q7,8.79-14.89万,9.00-12.00L/100km,昌河,暂无信息,['1.5T'],紧凑型SUV,"['手动', '无级变速']",[],该车车实力评分高于8%同级别车系查看详情,66.2,一般,一般,良好,一般, 2018款 1.5T CVT豪华型 5座,13.69万,,
黑金刚,10.98-17.98万,9.00-14.80L/100km,猎豹汽车,7.90-14.00L/100km,"['2.2L', '2.4L', '2.5T']",中型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分36.9,较弱,测试中,较弱,良好, 2013款 2.2L MT 两驱标准型,10.98万, 2009款 2.5T MT 两驱柴油型,停售
宝马X6,77.39-104.99万,9.10-11.50L/100km,宝马,9.90-13.90L/100km,"['2.0T', '3.0T', '4.0T', '4.4T']",中大型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分54.9,良好,测试中,优秀,较弱, 2018款 xDrive35i 领先型,84.99万, 2018款 xDrive35i M运动豪华型,91.99万
揽胜极光,38.58-55.38万,9.10-12.60L/100km,路虎,暂无信息,['2.0T'],紧凑型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.9,良好,测试中,良好,较弱, 2018款 2.0T 240PS 梦莲湖蓝限量版,51.48万, 2018款 2.0T 240PS SE 智耀版 ,45.48万
御风S16,11.78-14.28万,9.20-11.90L/100km,东风,暂无信息,['1.9T'],中型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.0,较弱,测试中,优秀,一般, 2017款 1.9T 手动四驱豪华型 5座,13.88万, 2017款 1.9T 手动两驱豪华型 7座,12.78万
自由光,18.58-31.98万,9.20-12.00L/100km,Jeep,暂无信息,"['2.0L', '2.0T', '2.4L']",中型SUV,['手自一体'],[],该车车实力评分高于29%同级别车系查看详情,73.5,良好,良好,良好,一般, 2019款 2.0L 两驱典尚版 国V,18.58万, 2017款 2.4L 四驱 卓越版,26.98万
帕拉丁,16.48-24.78万,9.20-13.10L/100km,日产,7.80-10.00L/100km,['2.4L'],紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分36.4,较弱,测试中,一般,较弱, 2013款 2.4L 四驱豪华纪念版 国IV,24.78万, 2013款 2.4L 四驱标准型 国IV,20.48万
途锐,63.68-84.98万,9.20-14.30L/100km,大众,7.40-15.70L/100km,"['2.0T', '3.0T', '3.2L', '3.6L', '4.2L', '6.0L']",中大型SUV,['手自一体'],[],该车车实力评分高于42%同级别车系查看详情,79.5,良好,良好,优秀,一般, 2019款 V6 TDI R-Line,未上市, 2019款 V6 TDI,未上市
斯巴鲁XV,19.18-22.18万,9.30-9.60L/100km,斯巴鲁,7.40L/100km,['2.0L'],紧凑型SUV,['无级变速'],[],该车车实力评分高于79%同级别车系查看详情,75.7,一般,良好,优秀,良好, 2018款 基本型,未上市, 2018款 Fun Adventure Concept,未上市
飞腾,8.98-10.68万,9.30-9.80L/100km,猎豹汽车,7.30-7.50L/100km,"['1.5L', '2.0L']",小型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分34.5,较弱,测试中,较弱,一般, 2010款 经典版 2.0L 四驱豪华型,停售, 2010款 经典版 2.0L 两驱豪华型,停售
